1000FLOKIUSDT,1000LUNCUSDT,1000PEPEUSDT,1000SHIBUSDT,1000XECUSDT,1INCHUSDT,AAVEUSDT,ACHUSDT,ADAUSDT,AGIXUSDT,AGLDUSDT,ALGOUSDT,ALICEUSDT,ALPHAUSDT,AMBUSDT,ANKRUSDT,ANTUSDT,APEUSDT,API3USDT,APTUSDT,ARUSDT,ARBUSDT,ARKUSDT,ARKMUSDT,ARPAUSDT,ASTRUSDT,ATAUSDT,ATOMUSDT,AUDIOUSDT,BADGERUSDT,BAKEUSDT,BALUSDT,BANDUSDT,BATUSDT,BCHUSDT,BELUSDT,BICOUSDT,BIGTIMEUSDT,BLUEBIRDUSDT,BLURUSDT,BLZUSDT,BNBUSDT,BNTUSDT,BNXUSDT,BONDUSDT,BSVUSDT,C98USDT,CAKEUSDT,CELOUSDT,CELRUSDT,CFXUSDT,CHRUSDT,CHZUSDT,CKBUSDT,COCOSUSDT,COMBOUSDT,COMPUSDT,COTIUSDT,CTKUSDT,CTSIUSDT,CVXUSDT,CYBERUSDT,DARUSDT,DASHUSDT,DEFIUSDT,DENTUSDT,DGBUSDT,DODOXUSDT,DOGEUSDT,DUSKUSDT,DYDXUSDT,EDUUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,ETCUSDT,FETUSDT,FILUSDT,FLMUSDT,FLOWUSDT,FOOTBALLUSDT,FRONTUSDT,FTMUSDT,FXSUSDT,GALUSDT,GALAUSDT,GASUSDT,GLMRUSDT,GMTUSDT,GMXUSDT,GRTUSDT,GTCUSDT,HBARUSDT,HFTUSDT,HIFIUSDT,HIGHUSDT,HOOKUSDT,HOTUSDT,ICPUSDT,ICXUSDT,IDUSDT,IDEXUSDT,ILVUSDT,IMXUSDT,INJUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,JASMYUSDT,JOEUSDT,KAVAUSDT,KEYUSDT,KLAYUSDT,KNCUSDT,KSMUSDT,LDOUSDT,LEVERUSDT,LINAUSDT,LITUSDT,LOOMUSDT,LPTUSDT,LQTYUSDT,LRCUSDT,LTCUSDT,LUNA2USDT,MAGICUSDT,MANAUSDT,MASKUSDT,MAVUSDT,MBLUSDT,MDTUSDT,MEMEUSDT,MINAUSDT,MKRUSDT,MTLUSDT,NEARUSDT,NEOUSDT,NKNUSDT,NMRUSDT,NTRNUSDT,OCEANUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONTUSDT,OPUSDT,ORBSUSDT,ORDIUSDT,OXTUSDT,PENDLEUSDT,PEOPLEUSDT,PERPUSDT,PHBUSDT,POLYXUSDT,POWRUSDT,QNTUSDT,QTUMUSDT,RADUSDT,RDNTUSDT,REEFUSDT,RENUSDT,RIFUSDT,RLCUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,RVNUSDT,SANDUSDT,SEIUSDT,SFPUSDT,SKLUSDT,SLPUSDT,SNTUSDT,SNXUSDT,SPELLUSDT,SSVUSDT,STEEMUSDT,STGUSDT,STMXUSDT,STORJUSDT,STPTUSDT,STRAXUSDT,STXUSDT,SUIUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TIAUSDT,TLMUSDT,TOKENUSDT,TOMOUSDT,TRBUSDT,TRUUSDT,TRXUSDT,TWTUSDT,UMAUSDT,UNFIUSDT,UNIUSDT,USDCUSDT,VETUSDT,WAVESUSDT,WAXPUSDT,WLDUSDT,WOOUSDT,XEMUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,XVGUSDT,XVSUSDT,YFIUSDT,YGGUSDT,ZECUSDT,ZENUSDT,ZILUSDT,ZRXUSDT
118800,49826,3466205,478469,132319,11406,44,204604,11252,16793,4948,30769,4016,45982,468823,159681,778,2867,2724,563,516,3714,2548,8328,79952,57778,43668,446,20377,1077,27248,1036,2749,18190,17,6270,14976,18018,580,11594,16996,16,4949,12399,918,84,22818,1599,7463,271003,25078,34305,52507,1108955,2751,6270,73,80032,8133,25840,1084,546,33755,129,5,4907975,492611,33420,54975,22804,1048,6984,87,14809,473,212,10474,827,46404,6098,11,11859,12887,536,2855,175362,493,16045,16221,78,31756,3693,68399,14139,5336,2901,4041,2600780,934,15408,14679,73086,47,3672,253,444099,21692,162536,793651,11990,5194,712758,25031,5000,164,1690,2923977,334448,4963,31847,581,2769,17190,56,5456,6367,9432,1193,13689,602410,83299,100977,6669,3,2319,2553,353,41902,275,7984,10243,31923,5984,293686,18034,2208,81900,187,56689,3830,314713,6292,5668,19268,16584,40,1300,2640,15444,2481390,70659,39643,3297,1793,57595,1594896,775,221239,9641,27643,6060,139860,1796138,92678,1518,8066142,219,14620,7517,474496,5797,60957,3812,6474,7111,4255,11458,4385,666,302343,117994,3127,48,89047,38948,3297,2303,456,782,4002,192678,1817,64051,1705,16498,115607,34109,24,6372,4756,1082251,579,0,9806,136,367,192215,7872
118765,49826,3464703,478354,132319,11399,44,204604,11252,16786,4945,30769,4008,45951,468713,159681,777,2865,2722,563,516,3714,2546,8326,79888,57695,43668,446,20377,1078,27229,1036,2748,18182,17,6269,14976,17994,580,11591,16992,16,4945,12399,918,84,22818,1598,7463,271003,25063,34305,52507,1108955,2751,6268,73,80032,8130,25823,1083,546,33784,129,5,4907975,492611,33420,54968,22795,1047,6984,87,14798,472,212,10474,827,46404,6098,11,11866,12878,536,2853,175285,493,16045,16214,78,31749,3690,68388,14129,5334,2903,4038,2600780,933,15408,14657,73086,47,3677,253,443803,21692,162536,793493,11983,5191,712631,25031,4998,164,1690,2921841,333890,4957,31822,581,2770,17175,56,5455,6366,9427,1192,13689,600962,83299,100860,6668,3,2318,2553,352,41898,275,7995,10238,31898,5975,293470,18034,2207,81816,187,56681,3831,314465,6291,5663,19249,16618,39,1300,2639,15444,2481390,70621,39596,3296,1792,57604,1594261,775,221239,9641,27624,6060,139860,1796138,92678,1516,8066142,219,14615,7512,473934,5784,60985,3809,6471,7109,4256,11455,4385,666,302343,117925,3127,48,89047,38948,3295,2303,456,782,4002,192585,1817,64031,1706,16498,115607,34092,24,6369,4751,1081373,578,0,9814,136,367,192123,7863
5981,2493,173430,23915,6618,570,2,10220,562,840,247,1537,201,2299,23477,7987,39,143,136,28,26,186,127,418,4004,2880,2183,22,1018,54,1361,52,137,908,1,313,748,882,29,577,851,1,247,612,46,4,1142,79,372,13559,1253,1715,2624,55402,138,313,4,3998,406,1293,54,27,1689,6,0,245399,24600,1670,2752,1142,52,350,4,740,24,11,522,41,2334,305,1,597,642,27,143,8741,25,802,805,4,1588,184,3420,707,266,145,202,130039,47,772,734,3652,2,185,13,22242,1084,8117,39667,598,259,35600,1252,250,8,84,145985,16694,248,1595,29,139,861,3,273,318,471,60,683,29904,4168,5032,333,0,116,128,18,2094,14,427,512,1595,298,14641,903,110,4073,9,2838,192,15736,315,283,962,835,2,65,132,772,124069,3535,1978,165,90,2878,79681,39,11062,482,1393,303,6988,89767,4641,76,403063,11,734,375,23697,289,3050,190,324,355,212,573,219,33,15129,6006,156,2,4454,1948,165,115,23,39,200,9620,91,3204,84,823,5814,1707,1,319,238,54025,29,0,489,7,18,9611,394
5976,2494,173295,23892,6616,570,2,10215,562,838,247,1537,201,2301,23444,7981,39,143,136,28,26,186,127,414,4003,2886,2181,22,1017,54,1358,52,137,909,1,313,746,877,29,579,848,1,247,613,46,4,1140,79,372,13550,1252,1714,2624,55386,138,313,4,3995,406,1293,54,27,1686,6,0,244798,24570,1669,2750,1140,52,350,4,739,24,11,521,41,2334,305,1,596,642,27,143,8741,25,801,808,4,1588,185,3420,706,266,145,202,130039,47,771,733,3652,2,184,13,22205,1085,8114,39643,598,259,35600,1251,249,8,85,145879,16681,248,1591,29,139,861,3,274,319,471,60,684,29940,4169,4992,334,0,116,128,18,2094,14,408,511,1594,297,14641,902,110,4083,9,2834,192,15711,314,283,961,829,2,65,132,771,123993,3529,1980,165,90,2882,79618,39,11050,482,1392,303,6991,89807,4640,76,402739,11,733,375,23697,289,3047,194,323,355,212,574,219,33,15094,5952,156,2,4450,1948,165,115,23,39,200,9625,91,3201,85,824,5780,1707,1,318,237,53996,29,0,491,7,18,9606,397
5968,2501,173566,23918,6625,572,2,10225,563,839,247,1541,201,2307,23502,8000,39,143,136,28,26,186,128,415,4011,2884,2186,22,1020,54,1358,52,137,910,1,314,749,886,29,581,850,1,248,613,46,4,1143,79,372,13550,1255,1715,2628,55525,138,313,4,4004,406,1294,54,27,1685,6,0,245399,24600,1672,2753,1146,52,351,4,740,24,11,522,41,2334,306,1,597,645,27,143,8760,25,802,809,4,1590,185,3422,709,268,145,202,130039,47,772,734,3657,2,184,13,22227,1086,8127,39738,600,259,35708,1253,250,8,85,146092,16708,249,1596,29,139,864,3,275,319,472,60,685,30180,4177,5101,334,0,116,128,18,2098,14,405,513,1596,298,14674,902,110,4096,9,2841,192,15760,315,284,963,832,2,65,132,772,124224,3539,1981,165,90,2886,79904,39,11068,482,1395,304,6998,89928,4669,76,403388,11,737,375,23725,288,3048,193,324,356,213,575,219,33,15129,5979,156,2,4454,1949,165,115,23,39,200,9643,91,3205,84,825,5797,1708,1,319,238,54142,29,0,493,7,18,9611,396
6017,2566,174642,23469,6702,560,2,10277,541,801,247,1470,205,2285,23326,7883,40,143,137,27,28,185,129,428,4014,3106,2198,21,1057,52,1378,54,134,899,1,327,722,1000,28,596,829,1,255,675,47,4,1149,79,366,12698,1264,1757,2633,53677,138,311,4,3994,406,1300,55,29,1744,7,0,244200,25221,1659,2514,1230,54,322,5,709,22,10,456,41,2439,299,1,605,568,27,147,8518,23,787,786,4,1548,191,3246,682,268,143,209,127470,46,771,747,3562,2,178,13,21832,1085,8074,39754,488,251,36193,1174,256,8,88,144823,18051,251,1604,27,137,874,3,289,319,462,56,696,34536,4212,6359,333,0,116,114,17,2091,14,436,479,1641,303,13559,894,112,4074,8,2764,198,15962,316,284,957,742,2,65,131,774,121729,3398,1995,144,65,2976,80580,32,11148,475,1307,301,6242,87681,4679,69,403959,11,737,368,23256,300,2956,205,305,353,171,560,211,34,15267,6404,156,2,3976,1959,164,115,24,38,200,9501,90,3090,91,735,5495,1689,1,325,237,54615,28,0,520,7,18,9398,425
6026,2568,174779,23482,6702,561,2,10288,541,801,248,1471,205,2288,23359,7890,40,144,137,27,28,185,129,429,4018,3110,2200,21,1057,52,1381,54,134,900,1,327,722,1001,28,597,831,1,255,676,47,4,1151,79,367,12715,1265,1761,2635,53720,138,311,4,3999,406,1301,55,29,1744,7,0,244200,25221,1660,2517,1234,54,323,5,710,22,10,456,41,2439,299,1,606,571,27,148,8522,23,787,788,4,1550,191,3251,683,269,143,210,127551,46,772,748,3564,2,178,13,21841,1086,8078,39785,488,251,36238,1175,256,8,88,145138,18100,251,1604,27,137,876,3,289,319,462,56,698,34542,4218,6374,333,0,117,114,17,2092,14,437,479,1643,303,13587,895,112,4084,8,2768,198,15987,316,284,958,743,2,65,131,775,121803,3403,1996,144,65,2979,80678,32,11161,476,1307,301,6248,87758,4677,69,404449,11,738,368,23256,300,2959,205,306,353,170,560,212,34,15267,6406,156,2,3987,1958,164,115,24,38,200,9515,90,3092,91,735,5479,1691,1,326,237,54690,28,0,519,7,18,9403,426
6010,2564,174505,23427,6687,561,2,10272,540,799,248,1467,204,2286,23321,7886,40,143,137,27,28,185,129,428,4009,3103,2195,21,1057,51,1377,54,134,898,1,327,721,999,28,595,830,1,255,675,47,4,1148,79,366,12690,1263,1754,2631,53648,138,311,4,3990,405,1299,55,29,1744,7,0,243902,25189,1658,2514,1230,54,323,5,709,22,10,455,41,2430,299,1,606,568,27,148,8503,23,788,784,4,1548,191,3247,682,269,142,209,127226,45,771,746,3561,2,177,13,21808,1085,8074,39659,488,251,36186,1172,256,8,88,144823,18067,251,1600,27,136,874,3,289,319,461,56,694,34590,4210,6361,332,0,116,114,17,2091,14,434,478,1641,302,13541,894,111,4068,8,2760,198,15936,316,284,957,743,2,65,131,773,121655,3391,1994,143,65,2971,80451,32,11136,474,1305,301,6238,87604,4669,69,403796,11,737,368,23229,300,2955,205,305,353,170,560,211,34,15244,6423,156,2,3979,1956,164,115,24,38,200,9497,90,3086,91,731,5495,1689,1,325,237,54585,28,0,518,7,18,9390,425
5984,2557,174049,23332,6676,559,2,10267,538,796,247,1462,204,2281,23261,7862,39,143,137,27,28,184,129,426,4000,3098,2191,20,1054,52,1375,53,134,896,1,326,719,995,28,593,829,1,254,673,47,4,1144,79,366,12650,1259,1754,2622,53605,138,310,4,3981,404,1295,55,29,1739,7,0,243013,25094,1653,2505,1226,54,322,5,706,21,10,455,41,2424,298,1,605,564,27,147,8471,23,785,783,4,1541,190,3240,681,268,142,208,126904,45,768,743,3552,2,177,12,21789,1082,8048,39596,484,250,36069,1163,256,8,88,144196,18002,251,1599,27,136,871,3,288,318,460,56,690,34566,4194,6335,331,0,116,113,17,2086,14,431,476,1635,302,13495,891,111,4047,8,2754,197,15898,315,283,956,742,2,64,131,772,121359,3379,1989,143,64,2961,80257,32,11099,472,1301,300,6240,87451,4659,68,402576,11,735,367,23175,299,2948,204,305,352,170,558,211,33,15209,6394,156,2,3942,1955,163,115,23,38,200,9470,89,3078,90,730,5479,1687,1,325,237,54407,28,0,515,7,18,9368,423
5974,2557,173928,23329,6671,559,2,10267,538,796,247,1462,204,2279,23237,7859,39,143,137,27,28,184,128,426,3992,3097,2188,20,1053,51,1373,53,134,896,1,326,719,993,28,593,828,1,254,673,47,4,1144,78,364,12634,1258,1754,2621,53548,138,310,4,3978,404,1294,55,29,1736,7,0,243013,25126,1653,2504,1225,54,322,5,705,21,10,453,41,2424,298,1,605,564,27,147,8464,23,784,784,4,1539,190,3238,681,268,142,208,126823,45,768,743,3548,2,177,12,21772,1080,8042,39557,484,250,36062,1161,255,8,87,144092,18018,250,1597,27,136,871,3,287,318,460,56,688,34530,4191,6331,331,0,116,113,17,2084,14,432,476,1633,302,13486,890,111,4021,8,2754,197,15886,315,283,955,742,2,64,130,772,121286,3376,1986,143,64,2959,80257,32,11099,472,1300,299,6232,87374,4657,68,402334,11,734,367,23175,299,2943,204,305,351,168,557,211,33,15198,6373,156,2,3936,1955,163,115,23,38,200,9465,89,3075,90,729,5464,1687,1,325,237,54392,28,0,515,7,18,9363,423
5910,2500,170911,23073,6627,549,2,10142,530,779,241,1440,201,2177,22797,7797,39,140,131,27,27,182,128,416,3952,3013,2148,20,1038,51,1356,53,131,885,1,320,708,930,28,585,811,1,249,664,47,4,1129,76,362,12516,1252,1732,2589,52425,138,308,4,3941,399,1281,54,28,1711,6,0,239521,24907,1617,2474,1224,52,308,4,694,21,10,430,40,2389,295,1,597,560,26,146,8163,23,773,789,4,1529,187,3207,657,264,140,204,124611,44,755,728,3495,2,172,12,21434,1067,7968,39300,472,247,35606,1149,252,8,87,140548,17873,245,1581,27,131,857,3,283,313,455,55,672,34171,4137,6010,327,0,115,111,17,2052,14,427,468,1618,297,13228,885,109,3892,8,2723,175,15625,309,275,935,717,2,64,128,753,119760,3319,1961,141,64,2916,79302,33,10917,466,1283,295,6219,86244,4588,66,398168,11,731,364,23041,289,2894,207,296,346,172,556,205,34,15049,6349,156,2,3883,1939,161,112,22,38,200,9398,88,3039,90,737,5435,1668,1,322,235,53476,27,0,483,7,18,9276,423
